region_and_metric,fertilizer_group,unit,scaling,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,256200000.0,211900000.0,,,,,
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,2905850.0,3419200.0,2047200.0,3680700.0,1096200.0,419800.0
Україна,Мінеральні добрива,Кілограм,Одиниці,463200000.0,532400000.0,605200000.0,668200000.0,665500000.0,727800000.0,787900000.0,495100000.0,325500000.0,376000000.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,2905850.0,3419200.0,2047200.0,3680700.0,1096200.0,419800.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,3543740.0000000005,4169600.0000000005,2496400.0,4488500.0,1337000.0,511800.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,7947200.0,4912300.0,4263800.0,3432200.0,1488100.0,1099699.9999999998
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,649739850.0000001,721707400.0,746743700.0,415884200.0,271193800.0,315154100.00000006
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,7947200.0,4912300.0,4263800.0,3432200.0,1488100.0,1099699.9999999998
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,224160240.0,248988900.0,257626500.00000003,143480000.0,93561700.0,108728200.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,224160240.0,248988900.0,257626500.00000003,143480000.0,93561700.0,108728200.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,6926809.999999999,8239599.999999998,8269700.000000001,4883099.999999999,3110799.9999999995,5915099.999999999
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,24082410.0,14885199.999999998,12920300.0,10400400.0,4509299.999999999,3332200.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,6926809.999999999,8239599.999999998,8269700.000000001,4883099.999999999,3110799.9999999995,5915099.999999999
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,109185170.0,124223900.0,129892599.99999999,91576600.0,70230500.0,88453400.00000001
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,109185170.0,124223900.0,129892599.99999999,91576600.0,70230500.0,88453400.00000001
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,341203590.0,388200100.00000006,405914400.0,286177700.0,219470900.0,276417000.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,56997940.0,57675500.0,66702200.000000015,38283800.0,39379000.0,34472400.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,24969970.0,27306100.000000004,33450299.999999996,21538300.0,12078900.000000002,16107600.000000002
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,25654750.0,30518300.0,30627900.0,18085400.0,11521200.0,21907300.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,123908540.00000001,125381600.0,145005100.0,83225300.0,85606300.0,74939400.00000001
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,24969970.0,27306100.000000004,33450299.999999996,21538300.0,12078900.000000002,16107600.000000002
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,56997940.0,57675500.0,66702200.000000015,38283800.0,39379000.0,34472400.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,4469220.0,4982400.000000001,3827300.0,3276500.0,1615600.0,785100.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,22517910.0,25886800.0,26706399.999999996,27679500.0,37942300.0,15826700.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,4503599.999999999,5177300.0,5341300.0,5536100.0,7588400.0,3165000.0
Україна,Мінеральні добрива,Кілограм,Одиниці,,,,,4503599.999999999,5177300.0,5341300.0,5536100.0,7588400.0,3165000.0
