"Показник","Територіальний розріз","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки часового ряду","Примітки спостереження","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Україна","Гектар","Тисячі","Один","","Дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","","6670.1","6002.5","6160.8","6408.6","6645.3","6387.8","6903.1","5086.8","4487.8","4719.5","4961.1"
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Вінницька","Гектар","Тисячі","Один","","","","364.6","384.2","327.3","314.6","323","306.4","306.4","304.5","313.5","313.2",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Волинська","Гектар","Тисячі","Один","","","","134.3","145.1","139.7","143.2","151.4","153.3","152","150.3","138.4","125.3",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Дніпропетровська","Гектар","Тисячі","Один","","","","579.3","420.3","482.9","509.1","515.4","504.9","557.2","518.6","418.1","447.6",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Донецька","Гектар","Тисячі","Один","","","","327.2","319.1","309.5","331.9","361.1","350.9","379.2","139.1","73","95.2",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Житомирська","Гектар","Тисячі","Один","","","","107.3","124.5","115.2","128.6","131.3","135.3","143.8","136.4","115.5","99.3",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Закарпатська","Гектар","Тисячі","Один","","","","31.8","29.5","27.1","26.1","26.5","24.4","23.4","24.7","23.2","23.3",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Запорізька","Гектар","Тисячі","Один","","","","625.7","536.5","619","635.5","663","664.1","703.4","205.4","96.1","102.1",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Івано-Франківська","Гектар","Тисячі","Один","","","","65.4","55.9","48.8","63.1","51.4","54.6","41.3","47.5","43.4","45.7",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Київська","Гектар","Тисячі","Один","","","","195.3","196.5","193.1","176.6","178","167.5","192","186.2","175.6","169.3",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Кіровоградська","Гектар","Тисячі","Один","","","","304.3","270","262.3","294","319","313.8","380.7","376.5","340.4","320.1",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Луганська","Гектар","Тисячі","Один","","","","239.7","216.7","241.7","270.5","277.5","271.9","280.4","43","35.9","34.8",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Львівська","Гектар","Тисячі","Один","","","","155.3","152.1","135.5","145.9","158.2","153.4","146.6","155.9","155.3","159.6",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Миколаївська","Гектар","Тисячі","Один","","","","424.4","332.7","406.3","431.7","436.2","424.5","476.4","386.2","367.9","365.1",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Одеська","Гектар","Тисячі","Один","","","","567.4","543.9","584.6","626","656.1","542.8","673.3","658.5","692.8","713",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Полтавська","Гектар","Тисячі","Один","","","","290.2","248.6","237.1","232","225.3","225.1","245.7","263.8","226","250.4",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Рівненська","Гектар","Тисячі","Один","","","","96.2","95.3","93.2","94.1","109.7","105.3","108","102.7","95.7","89.5",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Сумська","Гектар","Тисячі","Один","","","","243.8","217.4","197.6","177.6","180.4","170.9","187.9","178.8","137.4","157.2",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Тернопільська","Гектар","Тисячі","Один","","","","184.2","200.7","178.6","184.7","207.8","200.5","185.3","196.4","184.5","179.1",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Харківська","Гектар","Тисячі","Один","","","","547.9","450.3","469.4","518.5","533.7","531.5","579.7","356.8","218.1","363.3",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Херсонська","Гектар","Тисячі","Один","","","Відомості відсутні.","494.3","360","467.2","468.8","479.7","490","502","","16.7","56.1",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Хмельницька","Гектар","Тисячі","Один","","","","206.3","234.4","209.6","216.9","241.2","226.9","209.6","215.3","211.3","215.4",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Черкаська","Гектар","Тисячі","Один","","","","249.5","227.9","190.1","195.6","195.7","176.9","221.8","209","199.9","177.5",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Чернівецька","Гектар","Тисячі","Один","","","","41.6","45.2","36.7","39.3","46.7","37.8","32.1","33.9","31.4","30.3",""
"Площа зібрана однорічних і дворічних сільськогосподарських культур","Чернігівська","Гектар","Тисячі","Один","","","","194.1","195.7","188.3","184.3","177","155.1","174.9","162.1","177.7","187.1",""
