region,date,et0_fao_evapotranspiration,temperature_2m_mean,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max
Vinnytsia,2015-01-01,0.45,-3.4,0.3,-8.8,15.9,29.9
Vinnytsia,2015-01-02,0.52,0.5,3.5,-2.0,22.7,43.9
Vinnytsia,2015-01-03,0.66,1.7,2.9,0.6,27.3,57.6
Vinnytsia,2015-01-04,0.82,0.3,1.8,-1.0,25.2,52.2
Vinnytsia,2015-01-05,0.47,-1.5,-0.5,-3.0,26.5,54.0
Vinnytsia,2015-01-06,0.5,-7.5,-3.5,-12.7,22.8,45.0
Vinnytsia,2015-01-07,0.4,-12.5,-10.2,-14.2,19.1,35.3
Vinnytsia,2015-01-08,0.33,-12.5,-8.5,-18.3,16.2,31.3
Vinnytsia,2015-01-09,0.43,-5.7,1.6,-12.6,24.8,52.2
Vinnytsia,2015-01-10,0.3,1.2,2.4,-1.6,21.1,63.0
Vinnytsia,2015-01-11,0.85,2.9,7.4,0.3,31.7,59.4
Vinnytsia,2015-01-12,0.7,0.6,2.3,-1.2,30.6,62.3
Vinnytsia,2015-01-13,0.67,1.4,4.3,-0.2,18.2,36.4
Vinnytsia,2015-01-14,0.62,0.2,4.4,-2.8,14.2,24.1
Vinnytsia,2015-01-15,0.23,-0.3,2.9,-2.5,13.3,27.7
Vinnytsia,2015-01-16,0.26,-0.8,1.4,-2.7,17.7,34.9
Vinnytsia,2015-01-17,0.39,0.0,2.4,-1.2,18.7,39.2
Vinnytsia,2015-01-18,0.37,0.6,3.0,-0.6,15.2,30.2
Vinnytsia,2015-01-19,0.23,0.4,1.8,-0.7,10.2,21.6
Vinnytsia,2015-01-20,0.21,0.6,2.0,0.0,8.0,18.4
Vinnytsia,2015-01-21,0.17,1.2,2.3,0.6,9.6,20.2
Vinnytsia,2015-01-22,0.19,1.5,2.7,0.7,13.5,25.6
Vinnytsia,2015-01-23,0.17,3.2,4.4,2.2,16.1,33.8
Vinnytsia,2015-01-24,0.21,1.3,2.8,-0.6,16.4,32.8
Vinnytsia,2015-01-25,0.4,-1.1,-0.3,-1.7,13.9,30.2
Vinnytsia,2015-01-26,0.33,-0.8,0.6,-1.4,5.9,13.3
Vinnytsia,2015-01-27,0.43,-0.4,1.7,-1.8,8.4,20.9
Vinnytsia,2015-01-28,0.39,-0.1,1.7,-1.4,8.9,16.2
Vinnytsia,2015-01-29,0.41,0.0,2.4,-1.5,16.9,37.8
Vinnytsia,2015-01-30,0.29,2.4,4.9,0.4,25.9,49.0
Vinnytsia,2015-01-31,0.45,5.1,7.2,-0.4,25.8,63.7
Vinnytsia,2015-02-01,0.8,0.3,4.3,-3.2,12.9,23.0
